date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:57:39	39332/39332	---MCZ	200	added ('OK')	text/html	date:Mon,%2013%20Jun%202022%2007:57:38%20GMT	https://www.cuspoffer.com/	C:/My%20Web%20Sites/groupwork/www.cuspoffer.com/index.html	(from )
09:57:41	0/0	---M--	404	error ('Not%20Found')	text/plain	date:Mon,%2013%20Jun%202022%2007:57:41%20GMT	https://www.cuspoffer.com/robots.txt		(from )
09:58:00	9662/9662	---M--	200	added ('OK')	image/x-icon	etag:%221d6adc8bffb56be%22	https://www.cuspoffer.com/favicon.ico	C:/My%20Web%20Sites/groupwork/www.cuspoffer.com/favicon.ico	(from https://www.cuspoffer.com/)
09:58:00	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2013%20Jun%202022%2007:58:00%20GMT	http://cdn.jsdelivr.net/npm/bootstrap@3.3.7/dist/css/bootstrap.min.css	C:/My%20Web%20Sites/groupwork/cdn.jsdelivr.net/npm/bootstrap@3.3.7/dist/css/bootstrap.min.1.delayed	(from https://www.cuspoffer.com/)
09:58:00	121200/121200	---M-Z	200	added ('OK')	text/css	etag:W/%221d970-ZSfYvz4ek2i6uMe2D1a8Afo6/Wg%22	https://cdn.jsdelivr.net/npm/bootstrap@3.3.7/dist/css/bootstrap.min.css	C:/My%20Web%20Sites/groupwork/cdn.jsdelivr.net/npm/bootstrap@3.3.7/dist/css/bootstrap.min.css	(from https://www.cuspoffer.com/)
09:58:08	76080/76080	---MCZ	200	added ('OK')	text/css	etag:W/%221d6adc8c12d8930%22	https://www.cuspoffer.com/Content/animate.css?v=JIOfsRvU-3FikH-Rwoae48QfeEmKf6nCSrl7O2B_TP0	C:/My%20Web%20Sites/groupwork/www.cuspoffer.com/Content/animate72db.css	(from https://www.cuspoffer.com/)
09:58:15	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2013%20Jun%202022%2007:58:15%20GMT	http://cdn.jsdelivr.net/npm/font-awesome@4.7.0/css/font-awesome.min.css	C:/My%20Web%20Sites/groupwork/cdn.jsdelivr.net/npm/font-awesome@4.7.0/css/font-awesome.min.5.delayed	(from https://www.cuspoffer.com/)
09:58:15	5631/5631	---MCZ	200	added ('OK')	text/css	etag:W/%221d6adc8bffb66ff%22	https://www.cuspoffer.com/Content/non-responsive.css?v=WlJYG6ahf9yQjUZq9H_9VoCLdA7usXdTxrBsUg1mvuQ	C:/My%20Web%20Sites/groupwork/www.cuspoffer.com/Content/non-responsivec71b.css	(from https://www.cuspoffer.com/)
09:58:15	31000/31000	---M-Z	200	added ('OK')	text/css	etag:W/%227918-USx9eQM+MCipvmG1QM8aaHDIlvg%22	https://cdn.jsdelivr.net/npm/font-awesome@4.7.0/css/font-awesome.min.css	C:/My%20Web%20Sites/groupwork/cdn.jsdelivr.net/npm/font-awesome@4.7.0/css/font-awesome.min.css	(from https://www.cuspoffer.com/)
09:58:17	3046/3046	---MCZ	200	added ('OK')	text/css	etag:W/%221d6adc8bffb78e6%22	https://www.cuspoffer.com/Content/star-rating.css?v=bEAbFbFIPiM1IAVPjjEkL2Lx8ifrjDS5mOmXEAzxTjM	C:/My%20Web%20Sites/groupwork/www.cuspoffer.com/Content/star-ratinge372.css	(from https://www.cuspoffer.com/)
09:58:18	7762/7762	---M-Z	200	added ('OK')	text/css	etag:%22FmJSrhUjXeXxiS53xjaer5tjzoAq.gz%22	http://cdn.bootcss.com/awesome-bootstrap-checkbox/0.3.7/awesome-bootstrap-checkbox.min.css	C:/My%20Web%20Sites/groupwork/cdn.bootcss.com/awesome-bootstrap-checkbox/0.3.7/awesome-bootstrap-checkbox.min.css_;%20filename_=utf-8''awesome-bootstrap-checkbox.min.css	(from https://www.cuspoffer.com/)
09:58:18	50373/50373	---MCZ	200	added ('OK')	text/css	etag:W/%221d6adc8c12c64c5%22	https://www.cuspoffer.com/Content/Site.css?v=jtmvHc5j-Lvy2tKzSjTE--ZI8mas1cnxtrGK-PHi__o	C:/My%20Web%20Sites/groupwork/www.cuspoffer.com/Content/Sitedcda.css	(from https://www.cuspoffer.com/)
09:58:20	2709/2709	---MCZ	200	added ('OK')	text/css	etag:W/%221d6adc8c12caa95%22	https://www.cuspoffer.com/Content/iconfont/iconfont.css?v=FI68Jx1sL7pAXR1gXBlRpw4gfrJkFpJdnMlSMU9YBFs	C:/My%20Web%20Sites/groupwork/www.cuspoffer.com/Content/iconfont/iconfont6b8f.css	(from https://www.cuspoffer.com/)
09:58:21	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2013%20Jun%202022%2007:58:21%20GMT	http://cdn.jsdelivr.net/npm/jquery@3.3.1/dist/jquery.min.js	C:/My%20Web%20Sites/groupwork/cdn.jsdelivr.net/npm/jquery@3.3.1/dist/jquery.min.c.delayed	(from https://www.cuspoffer.com/)
09:58:21	86927/86927	---M-Z	200	added ('OK')	application/javascript	etag:W/%221538f-DcMttKqcXwPzs4xH2IPb1P7ROq4%22	https://cdn.jsdelivr.net/npm/jquery@3.3.1/dist/jquery.min.js	C:/My%20Web%20Sites/groupwork/cdn.jsdelivr.net/npm/jquery@3.3.1/dist/jquery.min.js	(from https://www.cuspoffer.com/)
09:58:22	30240/30240	---M-Z	200	added ('OK')	application/javascript	etag:8a7dcc6265d8d2a49a6e116d83e13862	https://hm.baidu.com/hm.js?4fe69e012b8011775314f0cd8b998768	C:/My%20Web%20Sites/groupwork/hm.baidu.com/hm8533.js	(from https://www.cuspoffer.com/)
09:58:22	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2013%20Jun%202022%2007:58:22%20GMT	http://cdn.jsdelivr.net/npm/bootstrap@3.3.7/dist/js/bootstrap.min.js	C:/My%20Web%20Sites/groupwork/cdn.jsdelivr.net/npm/bootstrap@3.3.7/dist/js/bootstrap.min.f.delayed	(from https://www.cuspoffer.com/)
09:58:22	15766/15766	---MCZ	200	added ('OK')	application/javascript	etag:W/%221d6adc8bffb4e96%22	https://www.cuspoffer.com/Scripts/headroom.js?v=a16rOHByZeP9LAZuwT4GamO4siigosmyC1YbRXjPvLE	C:/My%20Web%20Sites/groupwork/www.cuspoffer.com/Scripts/headroome60b.js	(from https://www.cuspoffer.com/)
